"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 28 18:51:29 MSK 2024","Sun Apr 28 18:52:12 MSK 2024","43472","","","","","","Проверка получения заказа по id",""
"passed","Sun Apr 28 21:09:41 MSK 2024","Sun Apr 28 21:09:42 MSK 2024","673","tests","test_store_api","TestOrderApi","","","Проверка количества питомцев по статусу",""
"passed","Sun Apr 28 21:09:46 MSK 2024","Sun Apr 28 21:09:48 MSK 2024","1579","tests","test_store_api","TestOrderApi","","","Проверка удаления заказа",""
"passed","Sun Apr 28 18:49:19 MSK 2024","Sun Apr 28 18:49:19 MSK 2024","525","tests","test_store_api","TestPetApi","","","Проверка получения заказа по несуществующему id",""
"passed","Sun Apr 28 18:45:13 MSK 2024","Sun Apr 28 18:45:35 MSK 2024","22805","","","","","","Проверка получения заказа по несуществующему id",""
"failed","Sun Apr 28 21:09:48 MSK 2024","Sun Apr 28 21:09:49 MSK 2024","1555","tests","test_user_api","TestUserApi","","","Проверка создания пользователя",""
"passed","Sun Apr 28 21:09:38 MSK 2024","Sun Apr 28 21:09:39 MSK 2024","771","tests","test_pet_api","TestPetApi","","","Проверка обновления карточки питомца по некорректному ID",""
"passed","Sun Apr 28 21:09:28 MSK 2024","Sun Apr 28 21:09:30 MSK 2024","2084","tests","test_pet_api","TestPetApi","","","Проверка получения информации о питомце по ID",""
"passed","Sun Apr 28 18:49:19 MSK 2024","Sun Apr 28 18:49:22 MSK 2024","2680","tests","test_store_api","TestPetApi","","","Проверка создания заказа",""
"passed","Sun Apr 28 21:09:49 MSK 2024","Sun Apr 28 21:09:50 MSK 2024","659","tests","test_user_api","TestUserApi","","","Проверка выхода пользователей из системы",""
"passed","Sun Apr 28 18:50:33 MSK 2024","Sun Apr 28 18:50:56 MSK 2024","22993","","","","","","Проверка получения заказа по id",""
"passed","Sun Apr 28 21:09:34 MSK 2024","Sun Apr 28 21:09:36 MSK 2024","1308","tests","test_pet_api","TestPetApi","","","Проверка добавления нового питомца",""
"passed","Sun Apr 28 21:09:41 MSK 2024","Sun Apr 28 21:09:41 MSK 2024","777","tests","test_pet_api","TestPetApi","","","Удаление карточки питомца по несуществующему ID",""
"passed","Sun Apr 28 21:09:39 MSK 2024","Sun Apr 28 21:09:41 MSK 2024","1319","tests","test_pet_api","TestPetApi","","","Проверка удаления карточки питомца",""
"passed","Sun Apr 28 18:14:41 MSK 2024","Sun Apr 28 18:15:07 MSK 2024","26196","","","","","","Проверка создания заказа",""
"passed","Sun Apr 28 21:09:31 MSK 2024","Sun Apr 28 21:09:32 MSK 2024","902","tests","test_pet_api","TestPetApi","","","Проверка получения информации по некорректному ID",""
"passed","Sun Apr 28 18:35:30 MSK 2024","Sun Apr 28 18:35:45 MSK 2024","15182","","","","","","Проверка получения заказа по id",""
"passed","Sun Apr 28 18:49:22 MSK 2024","Sun Apr 28 18:49:23 MSK 2024","1082","tests","test_store_api","TestPetApi","","","Проверка удаления заказа",""
"passed","Sun Apr 28 17:47:47 MSK 2024","Sun Apr 28 17:47:48 MSK 2024","655","tests","test_store_api","TestPetApi","","","Проверка поиска животных по статусу",""
"passed","Sun Apr 28 21:09:45 MSK 2024","Sun Apr 28 21:09:45 MSK 2024","776","tests","test_store_api","TestOrderApi","","","Проверка получения заказа по id",""
"passed","Sun Apr 28 21:09:32 MSK 2024","Sun Apr 28 21:09:33 MSK 2024","664","tests","test_pet_api","TestPetApi","","","Проверка получения информации по некорректному ID",""
"passed","Sun Apr 28 17:47:46 MSK 2024","Sun Apr 28 17:47:47 MSK 2024","722","tests","test_store_api","TestPetApi","","","Проверка поиска животных по статусу",""
"passed","Sun Apr 28 18:14:20 MSK 2024","Sun Apr 28 18:14:40 MSK 2024","20687","","","","","","Проверка создания заказа",""
"passed","Sun Apr 28 21:09:45 MSK 2024","Sun Apr 28 21:09:46 MSK 2024","653","tests","test_store_api","TestOrderApi","","","Проверка получения заказа по несуществующему id",""
"failed","Sun Apr 28 18:26:01 MSK 2024","Sun Apr 28 18:26:04 MSK 2024","2970","tests","test_store_api","TestPetApi","","","Проверка создания заказа",""
"passed","Sun Apr 28 21:09:24 MSK 2024","Sun Apr 28 21:09:26 MSK 2024","2238","tests","test_pet_api","TestPetApi","","","Проверка поиска животных по статусу",""
"passed","Sun Apr 28 21:09:33 MSK 2024","Sun Apr 28 21:09:34 MSK 2024","1820","tests","test_pet_api","TestPetApi","","","Проверка обновления карточки питомца",""
"passed","Sun Apr 28 21:09:27 MSK 2024","Sun Apr 28 21:09:28 MSK 2024","910","tests","test_pet_api","TestPetApi","","","Проверка поиска животных по некорректному статусу",""
"passed","Sun Apr 28 21:09:23 MSK 2024","Sun Apr 28 21:09:24 MSK 2024","1114","tests","test_pet_api","TestPetApi","","","Проверка поиска животных по статусу",""
"passed","Sun Apr 28 21:09:36 MSK 2024","Sun Apr 28 21:09:37 MSK 2024","914","tests","test_pet_api","TestPetApi","","","Проверка обновления карточки питомца c некорректным ID",""
"passed","Sun Apr 28 19:40:45 MSK 2024","Sun Apr 28 19:40:46 MSK 2024","654","tests","test_user_api","TestUserApi","","","Проверка входа пользователя c неправильным username",""
"passed","Sun Apr 28 17:47:48 MSK 2024","Sun Apr 28 17:47:48 MSK 2024","674","tests","test_store_api","TestPetApi","","","Проверка поиска животных по статусу",""
"passed","Sun Apr 28 21:09:30 MSK 2024","Sun Apr 28 21:09:31 MSK 2024","663","tests","test_pet_api","TestPetApi","","","Проверка получения информации по некорректному ID",""
"passed","Sun Apr 28 21:09:37 MSK 2024","Sun Apr 28 21:09:38 MSK 2024","1706","tests","test_pet_api","TestPetApi","","","Проверка обновления карточки питомца по ID",""
"passed","Sun Apr 28 21:09:26 MSK 2024","Sun Apr 28 21:09:27 MSK 2024","982","tests","test_pet_api","TestPetApi","","","Проверка поиска животных по статусу",""
"broken","Sun Apr 28 21:09:49 MSK 2024","Sun Apr 28 21:09:49 MSK 2024","0","tests","test_user_api","TestUserApi","","","Проверка входа пользователя в систему",""
"passed","Sun Apr 28 21:09:42 MSK 2024","Sun Apr 28 21:09:45 MSK 2024","2730","tests","test_store_api","TestOrderApi","","","Проверка создания заказа",""
